Mes,InfSub
1982-02,4.27121344
1982-03,4.2789747
1982-04,5.76355753
1982-05,6.21045341
1982-06,5.25068079
1982-07,5.0230681
1982-08,9.55607998
1982-09,5.50162283
1982-10,5.83277001
1982-11,5.87434009
1982-12,7.52571671
1983-01,11.75601713
1983-02,6.21714941
1983-03,5.07866382
1983-04,5.69519158
1983-05,4.32090187
1983-06,3.85428721
1983-07,5.87009239
1983-08,4.72608185
1983-09,3.36679766
1983-10,3.23440331
1983-11,5.80776085
1983-12,4.35294909
1984-01,5.35052407
1984-02,5.84855104
1984-03,4.26023097
1984-04,3.40182733
1984-05,2.91574359
1984-06,4.09321773
1984-07,3.58299205
1984-08,2.82285888
1984-09,3.64191524
1984-10,4.14006553
1984-11,3.342328
1984-12,4.21992038
1985-01,5.24595085
1985-02,4.51421457
1985-03,4.57079679
1985-04,2.82004226
1985-05,2.85593885
1985-06,2.8607947
1985-07,3.50048904
1985-08,4.53853857
1985-09,4.46614996
1985-10,4.23072161
1985-11,4.73125382
1985-12,4.46317621
1986-01,8.57420687
1986-02,5.2255347
1986-03,5.28747996
1986-04,5.4844645
1986-05,5.83270959
1986-06,7.03271533
1986-07,5.01589673
1986-08,5.71579212
1986-09,6.28488623
1986-10,6.58847813
1986-11,6.76674013
1986-12,7.70921774
1987-01,8.29787283
1987-02,7.54522391
1987-03,7.03503101
1987-04,7.26840201
1987-05,7.23227587
1987-06,7.45647302
1987-07,8.59817819
1987-08,7.33272532
1987-09,7.46778998
1987-10,8.76102737
1987-11,9.29252256
1987-12,12.45838977
1988-01,13.20512926
1988-02,10.39131428
1988-03,5.97178791
1988-04,2.89336781
1988-05,1.93023929
1988-06,1.37488547
1988-07,0.97648305
1988-08,0.99870629
1988-09,0.22789859
1988-10,0.63623852
1988-11,0.84604172
1988-12,1.84609082
1989-01,3.1846109
1989-02,2.01419572
1989-03,1.3714719
1989-04,1.21504272
1989-05,1.04143505
1989-06,0.93258008
1989-07,0.91375459
1989-08,1.16938028
1989-09,1.5257759
1989-10,1.78029833
1989-11,1.55352324
1989-12,2.91549394
1990-01,3.85496192
1990-02,1.83767221
1990-03,1.52522221
1990-04,1.96330852
1990-05,2.30814084
1990-06,2.51113739
1990-07,2.00377184
1990-08,1.8054979
1990-09,1.63359573
1990-10,1.60632235
1990-11,2.15813555
1990-12,2.84582138
1991-01,2.66530979
1991-02,1.93729971
1991-03,1.48854257
1991-04,1.09439638
1991-05,0.95005891
1991-06,0.94556041
1991-07,0.88990077
1991-08,0.91382848
1991-09,1.39174995
1991-10,1.38124878
1991-11,0.94842291
1991-12,1.77568642
1992-01,1.84586916
1992-02,1.09989462
1992-03,0.90519433
1992-04,0.929953
1992-05,1.21554817
1992-06,0.99438218
1992-07,0.81765307
